well,Formula_ID,Replicate,HEMA (%),PEGDA (%),HEMA/PEGDA,Polymer content,Polymer/LAP,LAP (%),Water (%),E_Pa,std_dev_Pa,Relative Error % 
G7,Formula_18,Rep_3,48.62,23.48,2.07,72.1,431.74,0.167,27.733,5985.26,75548,1.26
G8,Formula_6,Rep_2,42.54,19.4,2.19,61.94,520.5,0.119,37.941,3043.215,22036,0.72
G9,Formula_30,Rep_1,41.7,20.41,2.04,62.11,129.67,0.479,37.411,2162.365,8444,0.39
G10,Formula_2,Rep_1,43.49,18.73,2.32,62.22,172.83,0.36,37.42,2823.244,35967,1.27
G11,Formula_21,Rep_2,48.11,22.97,2.09,71.08,157.96,0.45,26.71,3675.059,60667,1.65
G12,Formula_22,Rep_1,50.21,22.76,2.21,72.97,207.3,0.352,26.678,8159.194,16518,0.2
H1,Formula_3,Rep_1,49.46,22.17,2.23,71.63,185.57,0.386,27.984,5000.043,49791,1
H2,Formula_24,Rep_3,50.71,21.52,2.36,72.23,255.23,0.283,27.487,5892.341,66927,1.14
H3,Formula_15,Rep_2,49.11,18.88,2.6,67.99,289.32,0.235,31.775,4783.403,58257,1.22
H4,Formula_11,Rep_3,40.47,18.94,2.14,59.41,319.41,0.186,40.404,4440.524,47860,1.08
H5,Formula_23,Rep_3,42.04,21.13,1.99,63.17,134.12,0.471,36.359,2547.516,21369,0.84
H6,Formula_19,Rep_3,44.99,18.23,2.47,63.22,248.9,0.254,36.526,3539.194,44091,1.25
H7,Formula_21,Rep_1,48.11,22.97,2.09,71.08,157.96,0.45,26.71,3854.834,23279,0.6
H8,Formula_29,Rep_2,40.37,20.23,2,60.6,228.68,0.265,39.135,2536.399,31626,1.25
H9,Formula_8,Rep_3,43.99,18.01,2.44,62,455.88,0.136,37.864,2523.261,20512,0.81
H10,Formula_15,Rep_1,49.11,18.88,2.6,67.99,289.32,0.235,31.775,3951.421,33314,0.84
H11,Formula_26,Rep_2,51.52,20.57,2.5,72.09,1044.78,0.069,27.841,3007.744,29977,1
H12,Formula_20,Rep_2,48.79,19.66,2.48,68.45,137.45,0.498,31.052,2085.908,20665,0.99
